"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","icao_code","iata_code","gps_code","local_code","home_link","wikipedia_link","keywords"
10821,"3TS2","heliport","West Hospital Authority Heliport",31.816400528,-97.09279632570001,650,"NA","US","US-TX","West","no",,,"3TS2","3TS2",,,
10822,"3TS3","small_airport","J-D Ranch Airport",29.37470054626465,-95.29049682617188,34,"NA","US","US-TX","Alvin","no",,,"3TS3","3TS3",,,
10823,"3TS4","heliport","Intermedics Heliport",29.211258,-95.440072,34,"NA","US","US-TX","Angleton","no",,,"3TS4","3TS4",,,
10827,"3TS8","heliport","Dailey Inc Heliport",29.789400100708008,-95.27739715576172,25,"NA","US","US-TX","Houston","no",,,"3TS8","3TS8",,,
10828,"3TS9","small_airport","Oak Glen Ranch Airport",33.37929916381836,-95.60359954833984,430,"NA","US","US-TX","Cooper","no",,,"3TS9","3TS9",,,
10829,"3TX0","heliport","Texas Department of Public Safety Corpus Christi Heliport",27.7411,-97.434998,37,"NA","US","US-TX","Corpus Christi","no",,,"3TX0","3TX0",,,
10830,"3TX1","small_airport","Paradise Point Airport",32.082431,-95.445039,345,"NA","US","US-TX","Frankston","no",,,"3TX1","3TX1",,,
10831,"3TX2","small_airport","Flying S Farm Airport",33.0806999206543,-97.3488998413086,780,"NA","US","US-TX","Justin","no",,,"3TX2","3TX2",,,
10832,"3TX3","small_airport","Sitton Field",33.119598388671875,-97.3197021484375,682,"NA","US","US-TX","Justin","no",,,"3TX3","3TX3",,,
45827,"3TX6","small_airport","Lowell Smith Jr Airport",32.233481,-97.380849,740,"NA","US","US-TX","Rio Vista","no",,,"3TX6","3TX6",,,
10836,"3TX7","small_airport","Flying P Airport",33.14080047607422,-97.37110137939453,805,"NA","US","US-TX","Justin","no",,,"3TX7","3TX7",,,
10838,"3TX9","small_airport","Rafter J Airport",32.5275993347168,-97.28079986572266,710,"NA","US","US-TX","Burleson","no",,,"3TX9","3TX9",,,
10839,"3U0","small_airport","Murphy Hot Springs Airport",42.02069854736328,-115.33799743652344,5829,"NA","US","US-ID","Three Creek","no",,,"3U0","3U0",,,
10840,"3U1","small_airport","Warren USFS Airport",45.267767,-115.683106,5896,"NA","US","US-ID","Warren","no",,,"K3U1","3U1",,,
10841,"3U2","small_airport","Johnson Creek Airport",44.912215,-115.485433,4933,"NA","US","US-ID","Yellow Pine","no",,,"3U2","3U2",,"https://en.wikipedia.org/wiki/Johnson_Creek_Airport",
10842,"3U5","small_airport","Augusta Airport",47.46329879760742,-112.37999725341797,4145,"NA","US","US-MT","Augusta","no",,,"3U5","3U5",,,
10843,"3U9","small_airport","Boulder Airport",46.211601,-112.106003,4968,"NA","US","US-MT","Boulder","no",,,"3U9","3U9",,"https://en.wikipedia.org/wiki/Boulder_Airport",
346247,"3UT6","heliport","Riverton Hospital Heliport",40.520019,-111.981616,4638,"NA","US","US-UT","Riverton","no",,,"3UT6","3UT6",,,
346852,"3UT8","heliport","Little Sahara Medical Helipad #1",39.72637,-112.30547,5228,"NA","US","US-UT","Little Sahara Recreation Area","no",,,"3UT8","3UT8",,,
346850,"3UT9","heliport","Little Sahara Medical Helipad #2",39.673007,-112.354742,4957,"NA","US","US-UT","Little Sahara Recreation Area","no",,,"3UT9","3UT9",,,
10844,"3VA0","small_airport","Ayres-Aicp Airport",38.775901794433594,-77.91059875488281,530,"NA","US","US-VA","Warrenton","no",,,"3VA0","3VA0",,,
10845,"3VA1","small_airport","The Meadows Airport",38.770587,-77.797278,584,"NA","US","US-VA","Warrenton","no",,,"3VA1","3VA1",,,
10846,"3VA2","small_airport","Aviacres Airport",38.624298095703125,-77.78610229492188,435,"NA","US","US-VA","Warrenton","no",,,"3VA2","3VA2",,,
10847,"3VA3","small_airport","Flying Circus Aerodrome",38.551488,-77.715411,315,"NA","US","US-VA","Bealeton","no",,,"3VA3","3VA3",,,
10848,"3VA4","small_airport","Bill Davenport Memorial Airport",37.857067,-76.736097,10,"NA","US","US-VA","Warsaw","no",,,"3VA4","3VA4",,,"Shandy Hall Farm"
45878,"3VA5","small_airport","Goose Hunt Farm Airport",39.028889,-77.625,340,"NA","US","US-VA","Leesburg","no",,,"3VA5","3VA5",,,
10849,"3VA6","heliport","Beaver Lodge Estate Heliport",38.51959991455078,-77.57360076904297,340,"NA","US","US-VA","Somerville","no",,,"3VA6","3VA6",,,
10850,"3VA7","small_airport","White Post Airport",39.061816,-78.092365,610,"NA","US","US-VA","White Post","no",,,"3VA7","3VA7",,,
10851,"3VA8","small_airport","Garner Airport",36.856300354003906,-76.68219757080078,80,"NA","US","US-VA","Windsor","no",,,"3VA8","3VA8",,,
10852,"3VA9","heliport","Danville Life Saving Crew Heliport",36.58570098876953,-79.4092025756836,520,"NA","US","US-VA","Danville","no",,,"3VA9","3VA9",,,
10853,"3VG2","small_airport","Machipongo International Airport",37.3883018494,-75.8925018311,36,"NA","US","US-VA","Machipongo","no",,,"3VG2","3VG2",,,
10854,"3VG3","small_airport","Serenity Farm Airport",37.936100006103516,-76.34860229492188,10,"NA","US","US-VA","Burgess","no",,,"3VG3","3VG3",,,
15237,"3VG7","small_airport","Hartwood Airport",38.4846,-77.612801,390,"NA","US","US-VA","Fredericksburg","no",,,"3VG7","3VG7",,"https://en.wikipedia.org/wiki/Hartwood_Airport","Formerly 8W8"
45873,"3VG9","small_airport","Potts Landing Airport",36.711385,-79.136266,550,"NA","US","US-VA","South Boston","no",,,"3VG9","3VG9",,,"Birch Creek Plantation Airport"
10856,"3VS","small_airport","Roy Otten Memorial Airfield",38.427799224854,-92.875198364258,1030,"NA","US","US-MO","Versailles","no",,"VRS","3VS","3VS",,,
10857,"3W2","small_airport","Put In Bay Airport",41.6367,-82.8283,595,"NA","US","US-OH","Put In Bay","no",,,"3W2","3W2",,"https://en.wikipedia.org/wiki/Put-in-Bay_Airport",
10858,"3W3","small_airport","Kentmorr Airpark",38.918201,-76.358002,10,"NA","US","US-MD","Stevensville","no",,,"3W3","3W3",,"https://en.wikipedia.org/wiki/Kentmorr_Airpark",
10859,"3W5","small_airport","Mears Field Airport",48.5298,-121.758003,267,"NA","US","US-WA","Concrete","no",,,"K3W5","3W5","https://www.townofconcrete.com/airport.php",,
10860,"3W6","small_airport","Bladenboro Airport",34.542921,-78.778131,115,"NA","US","US-NC","Bladenboro","no",,,"K3W6","3W6",,,
10861,"3W9","small_airport","Middle Bass-East Point Airport",41.694401,-82.7966,582,"NA","US","US-OH","Middle Bass Island","no",,,"3W9","3W9",,"https://en.wikipedia.org/wiki/Middle_Bass-East_Point_Airport",
10862,"3WA0","small_airport","Taylor Airport",46.89759826660156,-122.66999816894531,470,"NA","US","US-WA","Rainier","no",,,"3WA0","3WA0",,,
10863,"3WA1","small_airport","Johnson's Landing Ultralightport",47.603599548339844,-120.66999816894531,1260,"NA","US","US-WA","Leavenworth","no",,,"3WA1","3WA1",,,
10864,"3WA2","small_airport","Hanes Airport",47.500997,-118.233619,2209,"NA","US","US-WA","Harrington","no",,,"3WA2","3WA2",,,
10865,"3WA3","small_airport","Angel Park Airport",46.64849853515625,-118.58300018310547,884,"NA","US","US-WA","Kahlotus","no",,,"3WA3","3WA3",,,
10866,"3WA4","small_airport","Watson Airport",46.71649932861328,-118.61799621582031,1349,"NA","US","US-WA","Kahlotus","no",,,"3WA4","3WA4",,,
10867,"3WA5","heliport","Barnes Lonesome Polecat Ranch Heliport",48.25830078125,-122.66699981689453,188,"NA","US","US-WA","Oak Harbor","no",,,"3WA5","3WA5",,,
10869,"3WA7","heliport","Kent Benaroya Heliport",47.41450119018555,-122.2300033569336,25,"NA","US","US-WA","Kent","no",,,"3WA7","3WA7",,,
10870,"3WA8","heliport","Evergreen Hospital Heliport",47.71611023,-122.1801682,185,"NA","US","US-WA","Kirkland","no",,,"3WA8","3WA8",,,
10871,"3WA9","small_airport","Flying Carpet Airport",46.964544,-122.799937,255,"NA","US","US-WA","Lacey","no",,,,,,,"3WA9"
10872,"3WI0","small_airport","Carnot Field",44.6422004699707,-87.4197998046875,655,"NA","US","US-WI","Algoma","no",,,"3WI0","3WI0",,,
10873,"3WI1","small_airport","Olson's Airport",42.65700149536133,-88.08760070800781,825,"NA","US","US-WI","Union Grove","no",,,"3WI1","3WI1",,,
10874,"3WI2","small_airport","Tesmer Airport",43.152801513671875,-88.9845962524414,925,"NA","US","US-WI","Waterloo","no",,,"3WI2","3WI2",,,
10875,"3WI3","small_airport","Plover River Airfield",44.765201568603516,-89.40730285644531,1185,"NA","US","US-WI","Bevent","no",,,"3WI3","3WI3",,,
10876,"3WI4","small_airport","Flying 'O' Airport",44.92359924316406,-89.40229797363281,1320,"NA","US","US-WI","Wausau","no",,,"3WI4","3WI4",,,
10877,"3WI5","small_airport","Clover Valley Airport",42.8125,-88.72650146484375,850,"NA","US","US-WI","Whitewater","no",,,"3WI5","3WI5",,,
10878,"3WI6","small_airport","Melin Farms Airport",42.590775,-88.874613,885,"NA","US","US-WI","Clinton","no",,,"3WI6","3WI6",,,
10880,"3WI8","small_airport","Plantation Pine Airport",44.05329895019531,-89.1218032836914,825,"NA","US","US-WI","Redgranite","no",,,"3WI8","3WI8",,,
10881,"3WI9","small_airport","Rosenbaum Field",44.99375915527344,-91.37775421142578,940,"NA","US","US-WI","Chippewa Falls","no",,,"3WI9","3WI9",,,
557350,"3WN1","small_airport","Digger Doug Airport",42.870139,-89.900972,1065,"NA","US","US-WI","Dodgeville","no",,,"3WN1","3WN1",,,
10882,"3WN2","small_airport","Old Dairy Airport",46.69160079956055,-90.87069702148438,725,"NA","US","US-WI","Washburn","no",,,"3WN2","3WN2",,,
10883,"3WN3","heliport","Kenosha County Heliport",42.5702018737793,-88.04560089111328,771,"NA","US","US-WI","Kenosha","no",,,"3WN3","3WN3",,,
10884,"3WN4","small_airport","Mark's Park & Airfield",44.305906,-88.771512,855,"NA","US","US-WI","New London","no",,,"3WN4","3WN4",,,
10885,"3WN6","small_airport","Knutson Farms Airport",45.23899841308594,-91.71189880371094,1035,"NA","US","US-WI","Chetek","no",,,"3WN6","3WN6",,,
10886,"3WN7","small_airport","Woodland Airstrip",44.150732,-87.618394,610,"NA","US","US-WI","Two Rivers","no",,,"3WN7","3WN7",,,
10887,"3WN8","small_airport","Blunt Field",44.93560028076172,-91.43070220947266,930,"NA","US","US-WI","Chippewa Falls","no",,,"3WN8","3WN8",,,
10888,"3WN9","small_airport","Brion Memorial Airport",44.55690002441406,-91.36689758300781,900,"NA","US","US-WI","Strum","no",,,"3WN9","3WN9",,,
513265,"3WS9","small_airport","Woodland Farms Airport",43.61145,-90.307196,1309,"NA","US","US-WI","Hillsboro","no",,,"3WS9","3WS9",,,
10889,"3WV2","heliport","Va Medical Center Heliport",38.37779998779297,-82.5167007446289,885,"NA","US","US-WV","Huntington","no",,,"3WV2","3WV2",,,
326565,"3WV6","heliport","Air Evac 121 Heliport",37.834155,-81.196654,2400,"NA","US","US-WV","Mount Hope","no",,,"3WV6","3WV6",,,
346207,"3WV7","heliport","United Medical Center Heliport",39.329202,-80.238642,1247,"NA","US","US-WV","Bridgeport","no",,,"3WV7","3WV7",,,
10890,"3X5","small_airport","North Bass Island Airport",41.717999,-82.821098,594,"NA","US","US-OH","North Bass Island","no",,,"3X5","3X5",,"https://en.wikipedia.org/wiki/North_Bass_Island_Airport",
45815,"3XA0","small_airport","Drennan Airport",32.313889,-97.231111,726,"NA","US","US-TX","Grandview","no",,,"3XA0","3XA0",,,
45853,"3XA1","small_airport","Hardy Field",33.47395,-97.169267,670,"NA","US","US-TX","Valley View","no",,,"3XA1","3XA1",,,
45831,"3XA2","heliport","Matagorda Regional Medical Center Heliport",28.979875,-95.992307,52,"NA","US","US-TX","Bay City","no",,,"3XA2","3XA2",,,
42783,"3XA4","heliport","Palmview Police Department",26.23945236,-98.37071991,160,"NA","US","US-TX","Palmview","no",,,"3XA4","3XA4",,,
45810,"3XA5","heliport","Houston Methodist Clear Lake Hospital Heliport",29.550536,-95.085742,12,"NA","US","US-TX","Nassau Bay","no",,,"3XA5","3XA5",,,"Christus St. John, Houston Methodist St John Hospital Heliport"
45813,"3XA6","heliport","Dell Children's Medical Center Heliport",30.304401,-97.707757,644,"NA","US","US-TX","Austin","no",,,"3XA6","3XA6",,,
45816,"3XA7","small_airport","Eagle Rock Ranch Airport",30.890974,-99.006557,1540,"NA","US","US-TX","Pontotoc","no",,,"3XA7","3XA7",,,
45854,"3XA8","small_airport","Chicken Strip",32.514162,-97.594803,1055,"NA","US","US-TX","Cresson","no",,,"3XA8","3XA8",,,
